# TAGS -- 1460 distinct after exclusions
# count	locations	tag
1	mapshortname	Ranger Guild (Icemule)
1	mapshortname	Ranger Guild (River's Rest)
1	mapshortname	Ranger Guild (Ta'Illistim)
1	mapshortname	Ranger Guild (VO)
1	mapshortname	Ranger Guild (WL)
1	mapshortname	Ranger Guild (Zul Logoth)
1	mapshortname	Ravelin
1	mapshortname	Red Forest
1	mapshortname	Reignbeau Caverns (Dyer's Tent)
1	mapshortname	Reim Fortress Defense
1	mapshortname	Reim Fortress and Base Camp
1	mapshortname	Reim Settlement
1	mapshortname	Rift, The
1	mapshortname	Rogue Guild (FWI)
1	mapshortname	Rogue Guild (Icemule)
1	mapshortname	Rogue Guild (River's Rest)
1	mapshortname	Rogue Guild (Ta'Illistim)
1	mapshortname	Rogue Guild (Ta'Vaalor)
1	mapshortname	Rogue Guild (Teras)
1	mapshortname	Rogue Guild (VO)
1	mapshortname	Rogue Guild (Wehnimer's)
1	mapshortname	Rogue Guild (Zul Logoth)
1	mapshortname	Rone Academy
1	mapshortname	Sapphire Gate/Whistler's Pass North
1	mapshortname	Scatter, The
1	mapshortname	Silvergate Inn
1	mapshortname	Silvermule Gaming Hall
1	mapshortname	Skull Temple
1	mapshortname	Solhaven
1	mapshortname	Solhaven Lockers
1	mapshortname	Sorcerer Guild (FWI)
1	mapshortname	Sorcerer Guild (Icemule)
1	mapshortname	Sorcerer Guild (River's Rest)
1	mapshortname	Sorcerer Guild (Ta'Illistim)
1	mapshortname	Sorcerer Guild (Ta'Vaalor)
1	mapshortname	Sorcerer Guild (Teras)
1	mapshortname	Sorcerer Guild (VO)
1	mapshortname	Sorcerer Guild (Wehnimer's)
1	mapshortname	Sorcerer Guild (Zul Logoth)
1	mapshortname	South Gate Wilds
1	mapshortname	Spider Temple
1	mapshortname	Stone Baths
1	mapshortname	Stormpeak
1	mapshortname	Stout Street Armory
1	mapshortname	Stronghold/Thanatoph
1	mapshortname	Sunholm
1	mapshortname	Swale, The
1	mapshortname	Sylvarraend Road
1	mapshortname	Ta'Illistim
1	mapshortname	Ta'Illistim - Dyer's Tent
1	mapshortname	Ta'Illistim Buildings
1	mapshortname	Ta'Illistim Embassies
1	mapshortname	Ta'Vaalor
1	mapshortname	Ta'Vaalor - Dancing Dahcre (Annex)
1	mapshortname	Ta'Vaalor - Dyer's Tent
1	mapshortname	Ta'Vaalor - Wyvern Keep
1	mapshortname	Talador Festival Grounds
1	mapshortname	Talador Hunting East
1	mapshortname	Talador Hunting West
1	mapshortname	Temple
1	mapshortname	The Hive
1	mapshortname	Town Walls
1	mapshortname	Trail between Wehnimer's Landing and Icemule
1	mapshortname	Troubled Waters
1	mapshortname	Twilight Hall
1	mapshortname	Twilight Hall Annex (Icemule Trace)
1	mapshortname	Underground
1	mapshortname	Upper Trollfang
1	mapshortname	Victory Road
1	mapshortname	Warrens
1	mapshortname	Warrior Guild (IFW)
1	mapshortname	Warrior Guild (Ta'Illistim)
1	mapshortname	Wehnimer's Landing
1	mapshortname	Wehntoph
1	mapshortname	Whistler's Pass
1	mapshortname	Widowmaker's Road
1	mapshortname	Wilds
1	mapshortname	Wildwood
1	mapshortname	Willow Hall
1	mapshortname	Wizard Guild (Icemule)
1	mapshortname	Wizard Guild (KD)
1	mapshortname	Wizard Guild (KF)
1	mapshortname	Wizard Guild (Mist Harbor)
1	mapshortname	Wizard Guild (River's Rest)
1	mapshortname	Wizard Guild (Ta'Illistim)
1	mapshortname	Wizard Guild (Ta'Vaalor)
1	mapshortname	Wizard Guild (Wehnimer's)
1	mapshortname	Wizard Guild (Zul Logoth)
1	mapshortname	Zul Logoth
165	locker	
19	mho	
11	mho	House Onoir
10	mho	Faendryl Enclave
10	mho	Hand of the Arkati
10	mho	House Dreadnaught
10	mho	The Ilyan Syndicate
10	mho	The Order of the Azure Sun
9	mho	The Gypsy Troupe
8	mho	The Black Hand Trading Co.
8	mho	The Drakes Vanguard
7	mho	Ord an Dragan
7	mho	The Elanthian Dreadnaught Alliance
5	mho	Greystorm Society Of Enlightenment
5	mho	The Order of the Silver Gryphon
4	mho	G.E.M.S.
4	mho	The Northern Fury
3	mho	Moonshine Manor
89	society	Order of Voln
41	society	Council of Light
6	society	Guardians of Sunfist
128	trap	
123	premium	
66	underwater	
65	maze	
63	taskroom	
62	storyline	
44	pay-to-play	
26	citizenship	Ta'Vaalor
12	citizenship	Solhaven
3	citizenship	Icemule Trace
1	citizenship	Teras Isle
1	citizenship	Wehnimer's Landing
4	trashcan	large wooden barrel
3	trashcan	oak barrel
2	trashcan	copper-banded green oak barrel
2	trashcan	large wastebasket
2	trashcan	old barrel
1	trashcan	battered steel-bound barrel
1	trashcan	copper-bound rough oak barrel
1	trashcan	dusty wooden crate
1	trashcan	enchanted hearth
1	trashcan	green and white oak barrel
1	trashcan	hollow tree stump
1	trashcan	iron-bound driftwood wastebarrel
1	trashcan	ivy-covered iron barrel
1	trashcan	large purple wooden barrel
1	trashcan	large wooden crate
1	trashcan	oaken barrel
1	trashcan	ocean
1	trashcan	old green oak barrel
1	trashcan	old oak beer barrel
1	trashcan	old pickle barrel
1	trashcan	ora-banded driftwood barrel
1	trashcan	painted wooden barrel
1	trashcan	pale modwir bin
1	trashcan	ramshackle wicker wastebin
1	trashcan	round silver-banded barrel
1	trashcan	rounded whiskey barrel
1	trashcan	slatted wooden case
1	trashcan	slightly charred wooden barrel
1	trashcan	splintered oak barrel
1	trashcan	tart-etched silver bin
1	trashcan	wide ceramic canister
1	trashcan	wide-lipped copper urn
1	trashcan	wooden barrel
1	trashcan	wooden trash barrel
35	noteleport	fwi
34	mentor	
34	morphing	
30	Crimson Legion	
16	game	GSPlat
7	game	GSX
6	game	GSF
2	boxpool	npc:scruffy human worker
2	boxpool	table:sturdy wooden table
1	boxpool	npc:dead halfling pirate
1	boxpool	npc:disheveled dwarven attendant
1	boxpool	npc:grimy halfling scoundrel
1	boxpool	npc:proprietor Jahck
1	boxpool	npc:pudgy forest gnome attendant
1	boxpool	npc:shady looking dwarf
1	boxpool	npc:slender aelotoi woman
1	boxpool	npc:slender half-elven woman
1	boxpool	npc:small greasy gnome
1	boxpool	npc:well-dressed elven merchant
1	boxpool	npc:wry halfling trickster
1	boxpool	table:blackened ironwood crate
1	boxpool	table:crude table
1	boxpool	table:driftwood trestle table
1	boxpool	table:elegant mahogany table
1	boxpool	table:hoarbeam trestle table
1	boxpool	table:long oak counter
1	boxpool	table:polished maoral table
1	boxpool	table:rough walnut table
1	boxpool	table:slanted pinewood table
1	boxpool	table:thick mistwood workbench
1	boxpool	table:tile-inlaid counter
21	latched	
13	fwi	teleport
6	exit	go gangplank:previous in:29038,30142,30119,30176,30166,30130
2	exit	go curtain:previous
2	exit	go opening:previous
1	exit	go path:previous in:2501,3608,1353,1401,1285
1	exit	out:previous
12	transport	
11	jail cell	
11	sign of darkness	
5	prof	cleric
4	prof	sorcerer
8	seeking	
5	quest	nexus
5	town	defense
3	mobile	
3	private home	
2	samepath	northeast,southeast
1	samepath	northeast,southwest
1	gender	female
1	gender	male
2	pending restoration	
2	transition	
1	event	
1	symbol of return	
1	workroom	
